smiles,inchikey
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,NDCUAPJVLWFHHB-UHNVWZDZSA-N
Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,LHIALLMPKJMSIQ-NSCUHMNNSA-N
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,JTWOMNBEOCYFNV-NFFDBFGFSA-N
[N-]=[N+]=CC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)C=[N+]=[N-])NC(=O)CC[C@H](N)C(=O)O)C(=O)O,MNHVIVWFCMBFCV-AVGNSLFASA-N
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,HBOMLICNUCNMMY-XLPZGREQSA-N
C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,WZPBZJONDBGPKJ-FSPLSTOPSA-N
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,PFOLLRNADZZWEX-FFGRCDKISA-N
CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCCCCC2NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3cnc[nH]3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,VRKHYMXTJQCIND-UHFFFAOYSA-N
CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,CLKOFPXJLQSYAH-ABRJDSQDSA-N
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,QUIJNHUBAXPXFS-XLJNKUFUSA-N
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,SKKLOUVUUNMCJE-FQSMHNGLSA-N
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,VVZBFOKBSDGVGZ-UHFFFAOYSA-N
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,SIYLLGKDQZGJHK-UHFFFAOYSA-N
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N
O=C(OOC(=O)c1ccccc1)c1ccccc1,OMPJBNCRMGITSC-UHFFFAOYSA-N
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,JGSARLDLIJGVTE-UHFFFAOYSA-N
N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,QFFGVLORLPOAEC-SNVBAGLBSA-N
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,MRMBZHPJVKCOMA-YJFSRANCSA-O
C=C1CCO[C@]2([C@@H](O)[C@@](C)(O)CO)NC(=O)[C@@]1(O)NC2=O,WOUDXEYYJPOSNE-VKZDFBPFSA-N
