smiles
COC1=C2C[C@@H](O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC(=O)[C@]3(O)[C@H](C)[C@H](CCC(C)C)O[C@@H]3OC[C@H](O)[C@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4OC(=O)c4ccc(OC)cc4)[C@H]3OC(C)=O)[C@@H]2C1
CO[C@@H]1[C@H](O)[C@@H](C)O[C@@H](OC[C@H]2[C@@H]3O[C@@H]3/C=C/C(=O)[C@H](C)CC[C@H](O[C@@H]3O[C@H](C)C[C@H](O)[C@H]3O)[C@@H](C)/C=C/C(=O)O[C@@H]2C)[C@@H]1OC
N=C(N)NC(=O)OCc1cccc(N2CCC(Oc3cccnc3)CC2)c1F
CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2
COC(=O)[C@H]1C[C@H](O)CCN1
CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O
Cl/C=C/CCl
COc1ccccc1N1CCN(CC(O)c2ccc(O)c(C(N)=O)c2)CC1
C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
O=C(O)c1n[nH]c2c1OCC2
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=C[C@@H](OC(=O)/C=C\c3ccc(OC)cc3)[C@H]12
CCC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3cccc(OC)c3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)[C@H]4CC4(C)C)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
COc1cc2c(cc1OC)CN(CC1=NCCN1)CC2
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4C[C@H](O)[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@@H]1C(=O)OC
CCC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@H](C=C(C)C)NC(=O)OC4CCCC4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
Nc1nc(N)nc(SCC(=O)NCc2ccc(F)cc2)n1
O=C(/C=C/c1ccc(Sc2ccccc2OCc2ccccc2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1
O=C1c2c(c3c4ccc(O)cc4n(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NCc1ccc[nH]1
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)[C@@](C)(Cl)[C@H](C)Cl)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
C/C=C(\C)C(=O)O[C@@H]1C(COC(=O)c2ccccc2NC(=O)c2ccccc2N)=C[C@@H]2C(=O)[C@]3(C=C(C)[C@H](OC(C)=O)[C@@]13O)[C@H](C)C[C@@H]1[C@H]2C1(C)C
O=C(c1ccc(-c2ccc(C(=O)C(O)S(=O)(=O)O)cc2)cc1)C(O)S(=O)(=O)O
COC(=O)[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@]4(C)[C@H]5C(=O)C=C6[C@@H]7C[C@@](C)(C(=O)O)CC[C@]7(C)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)O[C@H](C(=O)OC)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
CC(=N)Nc1ccc(F)cc1
COc1cccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(F)F)C[C@]2(O)C3(C)C)c1
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(=O)N(C)C)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(F)F)C[C@@](O)([C@@H](OC(=O)c4cccc(Cl)c4)[C@H]21)C3(C)C
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)NCc3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CC(=O)OC[C@@]1(O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]2(C)[C@@H](O)C[C@@H]1O)C3(C)C
CN(C)CCN(C)C(=O)c1ccc2c(c1)/C(=C1/Nc3ccccc3/C1=N\OCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)N2
